timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728066881261,529, Login Request,200,OK,Thread Group 1-1,text,false,"Test failed: document expected to contain /""products""/",3300,164,3,6,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,529,0,357
1728066881460,404, Login Request,200,OK,Thread Group 1-2,text,false,"Test failed: document expected to contain /""products""/",3300,164,4,7,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,404,0,236
1728066881660,404, Login Request,200,OK,Thread Group 1-3,text,false,"Test failed: document expected to contain /""products""/",3300,164,5,9,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,403,0,230
1728066881860,512, Login Request,200,OK,Thread Group 1-4,text,false,"Test failed: document expected to contain /""products""/",3300,164,6,9,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,512,0,373
1728066882061,375, Login Request,200,OK,Thread Group 1-5,text,false,"Test failed: document expected to contain /""products""/",3300,164,6,9,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,375,0,223
1728066882260,355, Login Request,200,OK,Thread Group 1-6,text,false,"Test failed: document expected to contain /""products""/",3300,164,7,9,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,355,0,201
1728066882460,370, Login Request,200,OK,Thread Group 1-7,text,false,"Test failed: document expected to contain /""products""/",3300,164,6,6,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,370,0,210
1728066882661,370, Login Request,200,OK,Thread Group 1-8,text,false,"Test failed: document expected to contain /""products""/",3300,164,6,6,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,370,0,217
1728066882861,388, Login Request,200,OK,Thread Group 1-9,text,false,"Test failed: document expected to contain /""products""/",3300,164,7,7,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,388,0,228
1728066883060,387, Login Request,200,OK,Thread Group 1-10,text,false,"Test failed: document expected to contain /""products""/",3300,164,8,8,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,387,0,227
1728066883260,362, Login Request,200,OK,Thread Group 1-11,text,false,"Test failed: document expected to contain /""products""/",3300,164,7,7,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,362,0,211
1728066883459,366, Login Request,200,OK,Thread Group 1-12,text,false,"Test failed: document expected to contain /""products""/",3300,164,7,7,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,366,0,212
1728066883660,377, Login Request,200,OK,Thread Group 1-13,text,false,"Test failed: document expected to contain /""products""/",3300,164,7,7,https://www.saucedemo.com/?username=standard_user&password=secret_sauce,377,0,208
